ID,State_Name,County_Name,AQI_Year,Days_with_AQI,Good,Moderate,UnhealthySensitive,Unhealthy,VeryUnhealthy,Hazardous,Max_AQI,Median_AQI,good_moderate_sum,unhealthy_hazardous_sum
10000,Alabama,Baldwin,2018,205,181,24,0,0,0,0,97,38,205,0
10001,Alabama,Clay,2018,86,79,7,0,0,0,0,64,29,86,0
10002,Alabama,Colbert,2018,205,181,24,0,0,0,0,93,37,205,0
10003,Alabama,DeKalb,2018,238,205,33,0,0,0,0,84,38,238,0
10004,Alabama,Elmore,2018,161,142,19,0,0,0,0,71,36,161,0
10005,Alabama,Etowah,2018,252,167,84,0,1,0,0,153,44,251,1
10006,Alabama,Houston,2018,209,183,26,0,0,0,0,80,36,209,0
10007,Alabama,Jefferson,2018,274,120,148,5,1,0,0,156,52,268,6
10008,Alabama,Lawrence,2018,20,20,0,0,0,0,0,43,20,20,0
10009,Alabama,Madison,2018,181,131,49,1,0,0,0,115,42,180,1
10010,Alabama,Mobile,2018,248,194,53,1,0,0,0,105,39,247,1
10011,Alabama,Montgomery,2018,212,110,102,0,0,0,0,93,48,212,0
10012,Alabama,Morgan,2018,253,198,55,0,0,0,0,100,40,253,0
10013,Alabama,Russell,2018,253,175,78,0,0,0,0,99,43,253,0
10014,Alabama,Shelby,2018,272,241,27,4,0,0,0,124,33,268,4
10015,Alabama,Sumter,2018,243,222,21,0,0,0,0,77,33,243,0
10016,Alabama,Tuscaloosa,2018,247,193,53,1,0,0,0,115,41,246,1
10200,Alaska,Aleutians East ,2018,20,20,0,0,0,0,0,23,13,20,0
10201,Alaska,Anchorage ,2018,181,140,41,0,0,0,0,87,27,181,0
10202,Alaska,Bethel ,2018,25,24,1,0,0,0,0,54,19,25,0
10203,Alaska,Denali ,2018,242,239,3,0,0,0,0,58,37,242,0
10204,Alaska,Fairbanks North Star ,2018,182,132,30,14,6,0,0,154,35,162,20
10205,Alaska,Juneau ,2018,174,145,29,0,0,0,0,83,20,174,0
10206,Alaska,Kenai Peninsula ,2018,20,20,0,0,0,0,0,13,5,20,0
10207,Alaska,Matanuska Susitna ,2018,181,160,19,2,0,0,0,117,31,179,2
10288,Arizona,Apache,2018,267,263,4,0,0,0,0,55,13,267,0
10289,Arizona,Cochise,2018,273,190,83,0,0,0,0,90,46,273,0
10290,Arizona,Coconino,2018,273,154,116,3,0,0,0,126,49,270,3
10291,Arizona,Gila,2018,273,56,144,66,7,0,0,184,76,200,73
10292,Arizona,La Paz,2018,272,172,97,3,0,0,0,105,48,269,3
10293,Arizona,Maricopa,2018,274,23,193,51,4,3,0,249,75,216,58
10294,Arizona,Mohave,2018,270,258,12,0,0,0,0,82,19,270,0
10295,Arizona,Navajo,2018,269,168,99,2,0,0,0,115,47,267,2
10296,Arizona,Pima,2018,274,119,144,11,0,0,0,129,54,263,11
10297,Arizona,Pinal,2018,273,66,171,31,1,2,0,996,68,237,34
10298,Arizona,Santa Cruz,2018,273,241,31,0,1,0,0,183,30,272,1
10299,Arizona,Yavapai,2018,273,200,72,1,0,0,0,101,45,272,1
10300,Arizona,Yuma,2018,273,158,99,15,1,0,0,169,48,257,16
10431,Arkansas,Arkansas,2018,87,68,19,0,0,0,0,90,35,87,0
10432,Arkansas,Ashley,2018,90,75,14,1,0,0,0,103,33,89,1
10433,Arkansas,Clark,2018,241,222,19,0,0,0,0,87,36,241,0
10434,Arkansas,Craighead,2018,59,45,14,0,0,0,0,72,36,59,0
10435,Arkansas,Crittenden,2018,273,203,67,3,0,0,0,115,43,270,3
10436,Arkansas,Garland,2018,90,71,19,0,0,0,0,86,34,90,0
10437,Arkansas,Jackson,2018,91,77,14,0,0,0,0,71,33,91,0
10438,Arkansas,Newton,2018,273,248,25,0,0,0,0,84,38,273,0
10439,Arkansas,Polk,2018,271,231,40,0,0,0,0,93,41,271,0
10440,Arkansas,Pulaski,2018,274,183,89,2,0,0,0,122,45,272,2
10441,Arkansas,Union,2018,273,188,82,3,0,0,0,122,41,270,3
10442,Arkansas,Washington,2018,273,184,89,0,0,0,0,87,45,273,0
10575,California,Alameda,2018,182,95,86,1,0,0,0,110,49,181,1
10576,California,Amador,2018,181,163,18,0,0,0,0,93,38,181,0
10577,California,Butte,2018,187,105,79,3,0,0,0,126,48,184,3
10578,California,Calaveras,2018,180,89,91,0,0,0,0,97,51,180,0
10579,California,Colusa,2018,270,197,56,6,11,0,0,183,41,253,17
10580,California,Contra Costa,2018,182,107,73,2,0,0,0,145,48,180,2
10581,California,Del Norte,2018,115,101,14,0,0,0,0,77,28,115,0
10582,California,El Dorado,2018,181,135,44,2,0,0,0,115,41,179,2
10583,California,Fresno,2018,273,95,121,49,8,0,0,172,64,216,57
10584,California,Glenn,2018,181,164,17,0,0,0,0,71,35,181,0
10585,California,Humboldt,2018,182,175,7,0,0,0,0,95,36,182,0
10586,California,Imperial,2018,186,39,108,32,5,2,0,286,67,147,39
10587,California,Inyo,2018,273,128,116,24,3,1,0,624,51,244,28
10588,California,Kern,2018,304,120,144,32,8,0,0,174,56,264,40
10589,California,Kings,2018,304,85,188,27,4,0,0,175,64,273,31
10590,California,Lake,2018,129,129,0,0,0,0,0,48,34,129,0
10591,California,Los Angeles,2018,182,22,117,37,6,0,0,185,68,139,43
10592,California,Madera,2018,182,112,60,7,3,0,0,165,48,172,10
10593,California,Marin,2018,182,162,19,1,0,0,0,123,37,181,1
10594,California,Mariposa,2018,243,133,86,21,3,0,0,166,48,219,24
10595,California,Mendocino,2018,181,167,14,0,0,0,0,72,35,181,0
10596,California,Merced,2018,187,135,44,7,1,0,0,157,43,179,8
10597,California,Mono,2018,181,166,9,2,2,0,1,994,17,175,5
10598,California,Monterey,2018,274,243,29,2,0,0,0,113,39,272,2
10599,California,Napa,2018,182,133,49,0,0,0,0,89,43,182,0
10600,California,Nevada,2018,273,175,73,18,7,0,0,190,45,248,25
10601,California,Orange,2018,182,107,67,6,2,0,0,157,48,174,8
10602,California,Placer,2018,243,128,77,28,7,3,0,210,50,205,38
10603,California,Plumas,2018,179,125,51,3,0,0,0,129,26,176,3
10604,California,Riverside,2018,293,80,143,49,17,4,0,241,65,223,70
10605,California,Sacramento,2018,187,102,82,3,0,0,0,138,48,184,3
10606,California,San Benito,2018,273,228,43,2,0,0,0,105,41,271,2
10607,California,San Bernardino,2018,242,29,129,60,23,1,0,221,84,158,84
10608,California,San Diego,2018,196,56,128,12,0,0,0,143,61,184,12
10609,California,San Francisco,2018,182,144,37,1,0,0,0,111,37,181,1
10610,California,San Joaquin,2018,187,108,72,5,2,0,0,157,47,180,7
10611,California,San Luis Obispo,2018,273,162,105,6,0,0,0,133,48,267,6
10612,California,San Mateo,2018,182,153,29,0,0,0,0,83,37,182,0
10613,California,Santa Barbara,2018,213,153,60,0,0,0,0,93,46,213,0
10614,California,Santa Clara,2018,182,140,40,2,0,0,0,124,42,180,2
10615,California,Santa Cruz,2018,273,260,12,1,0,0,0,114,34,272,1
10616,California,Shasta,2018,242,192,36,14,0,0,0,143,44,228,14
10617,California,Siskiyou,2018,181,177,4,0,0,0,0,58,38,181,0
10618,California,Solano,2018,273,229,42,2,0,0,0,132,40,271,2
10619,California,Sonoma,2018,182,168,14,0,0,0,0,84,38,182,0
10620,California,Stanislaus,2018,186,115,60,10,1,0,0,155,47,175,11
10621,California,Sutter,2018,182,98,80,4,0,0,0,135,49,178,4
10622,California,Tehama,2018,187,139,46,2,0,0,0,119,41,185,2
10623,California,Trinity,2018,130,78,52,0,0,0,0,98,45,130,0
