ID,Year,Olympic_CC,GDP,Population
20000,1990,AFG,,12249114
20001,1991,AFG,,12993657
20002,1992,AFG,,13981231
20003,1993,AFG,,15095099
20004,1994,AFG,,16172719
20005,1995,AFG,,17099541
20006,1996,AFG,,17822884
20007,1997,AFG,,18381605
20008,1998,AFG,,18863999
20009,1999,AFG,,19403676
20010,2000,AFG,,20093756
20011,2001,AFG,,20966463
20012,2002,AFG,875.52,21979923
20013,2003,AFG,922.83,23064851
20014,2004,AFG,916.33,24118979
20015,2005,AFG,1011.6,25070798
20016,2006,AFG,1065.62,25893450
20017,2007,AFG,1210.48,26616792
20018,2008,AFG,1247.07,27294031
20019,2009,AFG,1482.1,28004331
20020,2010,AFG,1581.6,28803167
20021,2011,AFG,1660.74,29708599
20022,2012,AFG,1873.15,30696958
20023,2013,AFG,1913.16,31731688
20024,2014,AFG,1937.24,32758020
20025,2015,AFG,1926.36,33736494
20026,2016,AFG,1944.12,34656032
20027,2017,AFG,1980.52,35530081
20028,1990,AHO,,145400
20029,1991,AHO,,144403
20030,1992,AHO,,143912
20031,1993,AHO,,144299
20032,1994,AHO,,144630
20033,1995,AHO,,145139
20034,1996,AHO,,146306
20035,1997,AHO,,146956
20036,1998,AHO,,144472
20037,1999,AHO,,139428
20038,2000,AHO,,133860
20039,2001,AHO,,129047
20040,2002,AHO,,129205
20041,2003,AHO,,131897
20042,2004,AHO,,134192
20043,2005,AHO,,137658
20044,2006,AHO,,141239
20045,2007,AHO,,144056
20046,2008,AHO,,145880
20047,2009,AHO,,146833
20048,2010,AHO,,148703
20049,2011,AHO,,150831
20050,2012,AHO,,152088
20051,2013,AHO,,153822
20052,2014,AHO,,155909
20053,2015,AHO,,157980
20054,2016,AHO,,159663
20055,2017,AHO,,161014
20056,1990,ALB,2722.28,3286542
20057,1991,ALB,1992.56,3266790
20058,1992,ALB,1902.75,3247039
20059,1993,ALB,2148.1,3227287
20060,1994,ALB,2390.53,3207536
20061,1995,ALB,2782.09,3187784
20062,1996,ALB,3109.94,3168033
20063,1997,ALB,2838.04,3148281
20064,1998,ALB,3209.62,3128530
20065,1999,ALB,3690.68,3108778
20066,2000,ALB,4029.02,3089027
20067,2001,ALB,4457.11,3060173
20068,2002,ALB,4754.65,3051010
20069,2003,ALB,5114.72,3039616
20070,2004,ALB,5522.98,3026939
20071,2005,ALB,5942.88,3011487
20072,2006,ALB,6631.84,2992547
20073,2007,ALB,7291.24,2970017
20074,2008,ALB,8228.34,2947314
20075,2009,ALB,8813.25,2927519
20076,2010,ALB,9637.35,2913021
20077,2011,ALB,10207.76,2905195
20078,2012,ALB,10526.24,2900401
20079,2013,ALB,10570.95,2895092
20080,2014,ALB,11259.26,2889104
20081,2015,ALB,11334.22,2880703
20082,2016,ALB,11559.3,2876101
20083,2017,ALB,12020.69,2873457
20084,1990,ALG,6616.41,25912367
20085,1991,ALG,6591.3,26554329
20086,1992,ALG,6704.65,27181094
20087,1993,ALG,6573.67,27786259
20088,1994,ALG,6518.03,28362253
20089,1995,ALG,6777.3,28904298
20090,1996,ALG,7060.1,29411415
20091,1997,ALG,7144.43,29886839
20092,1998,ALG,7477.97,30335732
20093,1999,ALG,7725.88,30765613
20094,2000,ALG,8093.53,31183660
20095,2001,ALG,8416.75,31592153
20096,2002,ALG,8911.68,31995046
20097,2003,ALG,9621.16,32403514
20098,2004,ALG,10176.68,32831096
20099,2005,ALG,10971.85,33288437
20100,2006,ALG,11332.79,33777915
20101,2007,ALG,11843.72,34300076
20102,2008,ALG,12162.26,34860715
20103,2009,ALG,12242.18,35465760
20104,2010,ALG,12610.25,36117637
20105,2011,ALG,12990.35,36819558
20106,2012,ALG,13404.41,37565847
20107,2013,ALG,13715.74,38338562
20108,2014,ALG,14203.9,39113313
