vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2010-01-26 07:41:00,2010-01-26 07:45:00,1,0.75,-73.956778,40.76775,1,,-73.965957,40.765232,CAS,4.5,0.0,0.5,0.0,0.0,5.0
DDS,2010-01-30 23:31:00,2010-01-30 23:46:12,1,5.9,-73.99611799999998,40.763932,1,,-73.98151199999998,40.741193,CAS,15.3,0.5,0.5,0.0,0.0,16.3
DDS,2010-01-18 20:22:20,2010-01-18 20:38:12,1,4.0,-73.979673,40.78379,1,,-73.91785199999998,40.87856,CAS,11.7,0.5,0.5,0.0,0.0,12.7
VTS,2010-01-09 01:18:00,2010-01-09 01:35:00,2,4.7,-73.977922,40.763997,1,,-73.92390799999998,40.759725,CAS,13.3,0.5,0.5,0.0,0.0,14.3
CMT,2010-01-18 19:10:14,2010-01-18 19:17:07,1,0.5999999999999999,-73.990924,40.734682,1,0,-73.99551099999998,40.739088,Cre,5.3,0.0,0.5,0.87,0.0,6.67
DDS,2010-01-23 18:40:25,2010-01-23 18:54:51,1,3.3,0.0,0.0,1,,0.0,0.0,CRE,10.5,0.0,0.5,1.0,0.0,12.0
VTS,2010-01-17 09:18:00,2010-01-17 09:25:00,1,1.33,-73.993747,40.754917,1,,-73.98471499999998,40.755927,CAS,6.1,0.0,0.5,0.0,0.0,6.6
VTS,2010-01-09 13:49:00,2010-01-09 13:56:00,1,1.83,-73.97103,40.751307,1,,-73.99056,40.734923,CAS,6.9,0.0,0.5,0.0,0.0,7.4
VTS,2010-01-09 00:25:00,2010-01-09 00:39:00,1,3.28,-73.990037,40.725633,1,,-73.993842,40.761697,CAS,11.3,0.5,0.5,0.0,0.0,12.3
VTS,2010-01-27 18:15:00,2010-01-27 18:29:00,1,1.42,-73.979623,40.74378,1,,-73.98941499999998,40.756788,Cre,8.5,1.0,0.5,2.0,0.0,12.0
VTS,2010-01-08 16:05:00,2010-01-08 16:13:00,1,0.8399999999999999,-74.000917,40.75728,1,,-73.989767,40.757407,Cre,5.7,1.0,0.5,3.0,0.0,10.2
VTS,2010-01-09 02:07:00,2010-01-09 02:21:00,1,2.76,-73.991175,40.728072,1,,-73.979307,40.74422,CAS,10.1,0.5,0.5,0.0,0.0,11.1
VTS,2010-01-16 19:04:00,2010-01-16 19:22:00,1,1.52,-73.980985,40.737848,1,,-74.00325499999998,40.738717,CAS,10.5,0.0,0.5,0.0,0.0,11.0
VTS,2010-01-08 17:15:00,2010-01-08 17:40:00,1,7.12,-73.84416799999998,40.721353,1,,-73.931442,40.670685,CAS,19.7,1.0,0.5,0.0,0.0,21.2
DDS,2010-01-14 19:23:15,2010-01-14 19:44:25,1,1.4,-73.955577,40.772523,1,,-73.99111999999998,40.755463,CAS,9.7,1.5,0.0,0.0,0.0,11.2
DDS,2010-01-06 22:34:49,2010-01-06 22:41:30,1,1.1,-74.010253,40.72055,1,,-74.00396499999998,40.715782,CAS,5.7,0.5,-1.0,0.0,0.0,6.7
DDS,2010-01-20 15:52:26,2010-01-20 16:07:19,1,2.0,-73.96953499999998,40.800547,1,,-73.942722,40.841573,CRE,8.9,0.0,0.5,1.1,0.0,10.5
